Anforderung,Titel,umgesetzt,Hinweis
A_18464,"TLS-Verbindungen, nicht Version 1.1",ja,
A_21275-01,"TLS-Verbindungen, zulässige Hashfunktionen bei Signaturen im TLS-Handshake",ja,
A_25337,Hersteller Clientsystem - Registrierung für product_id,teilweise,
A_25338-01,ZETA Client - Authentifizierung beim Token Exchange,ja,
A_25340-01,ZETA Client- Zertifikatsprüfung,ja,
A_25432-01,ZETA Client - Ablauf Client-Registrierung,nein,
A_25434,ZETA Client - Client-Registrierung mit bestätigten Umgebungseigenschaften Android,nein,
A_25644-01,PDP Client-Registrierung mit Attestation,ja,
A_25645-01,PDP Authentifizierung mittels TI-Smartcard,ja,
A_25649,PDP Authorization Server - Regelmäßige Wiederholung der Attestation,nein,
A_25650,PDP Client-Registrierung - TI-Identität in Attestation,teilweise,
A_25651,PDP Client-Registrierung - Offband Nutzer Verification,nein,
A_25652,ZETA Guard - Notification Service,nein,
A_25656,PDP - Entity Statement,nein,
A_25657,PDP - Authentication über sektoralen IDP,nein,
A_25660,PDP Authorization Server - Session Management mittels Access Token und Refresh Token,ja,
A_25661,PDP Authorization Server - Umsetzung der Policy Decision,ja,
A_25662,PDP Authorization Server - Refresh Token Rotation,ja,
A_25663,PDP Authorization Server - Token-Binding an Client-Registrierung,ja,
A_25665,PDP Authorization Server - Plugin-Schnittstelle Application Authorization Backend,nein,
A_25669-01,PEP HTTP Proxy - Zusätzliche HTTP-Header,ja,
A_25733,ZETA Client - Clientverwaltung und manuelle De-Registrierung,nein,
A_25735-01,mobiler Client- Push-Benachrichtigung,nein,
A_25738,PDP Client-Registrierung - Telemetrie,teilweise,
A_25739-02,"PDP Policy Engine, OPA Instanzen",ja,
A_25752,PDP Client-Registrierung - Nutzer über Hintergrund zur Ablehnung der Client-Registrierung informieren,ja,
A_25758,ZETA Client - Erfassung Kontaktinformation für Offband-Verifikation,nein,
A_25760,PDP Authorization Server - OAuth2 Schnittstellen,ja,
A_25761,ZETA Client - Nutzerauthentifizierung mittels etablierter Standards,nein,
A_25762-01,ZETA Client - Nutzerauthentifizierung - Unterstützung etablierter Identitäten und Dienste,teilweise,
A_25766,ZETA Client - Client Credentials in TI Qualität,ja,
A_25767,ZETA Client - Clientkey in JWT,ja,
A_25768,ZETA Client - Client-Registrierung mit bestätigten Umgebungseigenschaften Apple,nein,
A_25782,ZETA Client - OAuth2 Session Management,ja,
A_25783-01,ZETA Client - Anweisungen aus HTTP Response Status Codes und Header folgen,teilweise,
A_25784,ZETA Guard-Komponenten - Download von Aktualisierungen im Hintergrund,ja,
A_25785,ZETA Guard-Komponenten - Nahtloser Übergang zu neuen Versionen,ja,
A_25786,ZETA Guard-Komponenten - Abschluss von Transaktionen vor Aktualisierung,ja,
A_25788,ZETA Guard-Komponenten - Unterstützung von Rollbacks,ja,
A_25789,ZETA Guard-Komponenten - Schnelle Rollback-Durchführung,ja,
A_26195,PEP HTTP Proxy - Unterstützung Websocket,ja,
A_26281-01,PDP Authorization Server - Schlüssel für Token-Signatur,teilweise,
A_26450,PoPP-Verifier - PoPP-Token Signaturprüfung,ja,
A_26452,PoPP-Verifier - JWT Claims Validierung,ja,
A_26477,PEP HTTP Proxy - PoPP Token Validierung,teilweise,
A_26486-01,PEP HTTP Proxy - Bearbeitungszeiten,ja,
A_26487,PEP HTTP Proxy -Skalierbarkeit,ja,
A_26488,PEP HTTP Proxy - Last,ja,
A_26489-01,PDP Authorization Server - Bearbeitungszeiten,ja,
A_26490,PDP Authorization Server - Skalierbarkeit,ja,
A_26491,PDP Authorization Server - Last,ja,
A_26492-02,PEP HTTP Proxy - Weiterleitung von Client-Daten,ja,
A_26493-01,PEP HTTP Proxy - Umgang mit JWKS des Popp Servers,teilweise,
A_26560,PEP HTTP Proxy - Weiterleitungskonfiguration,ja,
A_26561,PEP HTTP Proxy - Caching,nein,
A_26585-01,PDP Client-Registrierung - Client-Daten,ja,
A_26586,PDP Authorization Server - Session- und Nutzer-Daten,ja,
A_26587-01,PDP Datenbank - Kompatibilität,ja,
A_26589-01,PEP HTTP Proxy - Nutzer-Daten,ja,
A_26590-02,PEP HTTP Proxy - Client-Daten,ja,
A_26639,ZETA Guard - Unterstützung Websocket,ja,
A_26640,ZETA Guard - HTTP Protokoll-Versionen,ja,
A_26641,PEP HTTP Proxy - HTTP Protokoll-Versionen,ja,
A_26661,ZETA Guard - HTTP Statuscodes,ja,
A_26662,"ZETA Guard, HTTP Fehlerdetails",ja,
A_26666-01,PEP HTTP Proxy - TLS Terminierung,nein,
A_26668-02,ZETA Guard - Rate Limit,nein,
A_26669-01,PDP Authorization Server - TLS Terminierung,ja,
A_26944,PDP Authorization Server - Access Token Inhalt,ja,
A_26964-01,ZETA Guard - OCSP Stapling,teilweise,
A_26972-02,PDP Authorization Server - Nutzer-Daten aus der SM(C)-B,ja,
A_26973-01,PDP Authorization Server - Nutzer-Daten aus id_token,nein,
A_26974-01,PEP HTTP Proxy - Fehler vom Resource Server,nein,
A_26988,Telemetriedaten Service - Fehlermeldungen,teilweise,
A_27007,ZETA Client - HTTP Statuscodes,ja,
A_27015,PoPP-Verifier - Prüfung Signaturzertifikat via TI-PKI möglich,nein,
